species,n_muestras,T_frames_valid_mean,SC_hat_mean_hz,SC_hat_median_hz
Crypturellus cinereus,190,56.95789473684211,1743.739013383828,1755.4427431468946
Crypturellus bartletti,143,172.16083916083917,1879.5403290170016,1876.628134961533
Crypturellus cinnamomeus,104,52.03846153846154,1367.0460943975343,1366.3577817381029
Crypturellus obsoletus,100,212.74,2254.1784164190335,2298.528089795217
Eudromia elegans,80,26.7625,2065.8521528040574,2016.423216527203
Crypturellus noctivagus,76,117.0,734.4628646124594,740.0703908123623
Crypturellus erythropus,72,122.45833333333333,1025.3148757689078,995.045765780412
Crypturellus boucardi,71,202.08450704225353,806.5390149992384,801.2504284897708
Crypturellus atrocapillus,63,24.682539682539684,1345.0290596433283,1305.8013852929146
Nothoprocta curvirostris,60,30.15,4640.781626274817,4538.819809427412
Tinamotis pentlandii,60,44.93333333333333,1534.1718420038164,1531.0176816817327
Crypturellus duidae,56,175.57142857142858,1283.9535802802877,1294.35611874919
Nothura minor,55,50.6,3637.898206339787,3652.6348955185135
Crypturellus berlepschi,55,59.45454545454545,4747.241694044125,4728.934976021117
Eudromia formosa,55,62.21818181818182,1691.1502788628468,1686.8484552496186
Crypturellus undulatus,53,114.73584905660377,1269.522581389727,1266.8910285254417
Nothoprocta cinerascens,53,324.24528301886795,2690.3347793872285,2629.0038019046324
Nothura boraquira,53,45.924528301886795,2606.813166866696,2592.497792446806
Crypturellus tataupa,53,159.73584905660377,1891.9230839690501,1863.6119627066546
Tinamus guttatus,53,284.4339622641509,1088.2652812308793,1082.2327982517418
Tinamotis ingoufi,51,98.03921568627452,1655.02320890833,1587.7461650719827
Crypturellus soui,51,105.07843137254902,1973.7404833119595,1960.4385930965477
Rhynchotus rufescens,50,81.6,2127.5238087679304,2045.9194139894576
Rhynchotus maculicollis,50,32.02,2041.6787932397408,2011.1758537928777
Taoniscus nanus,50,137.28,4239.279699447803,4228.316867275831
Nothoprocta perdicaria,50,26.52,4345.262999758324,4390.303929356582
Nothura maculosa,50,237.4,2753.338761252326,2623.8962259185537
Tinamus major,50,343.04,1326.7650417723612,1314.3421160404614
Tinamus solitarius,50,97.98,1361.1077113417857,1374.4183403107704
Nothura darwinii,50,392.7,2685.8539347550063,2433.838865264951
Nothocercus bonapartei,50,17.32,1358.306797879026,1344.248479955942
Nothoprocta pentlandii,50,23.98,3858.588742172376,3773.110116820658
Nothoprocta ornata,50,23.94,3263.571514320441,3255.0801363656774
Nothocercus nigrocapillus,50,21.9,1887.5803997776259,1885.536239736684
Nothocercus julius,50,16.52,1720.7029660182297,1725.3976930708043
Crypturellus transfasciatus,50,29.22,1954.9360001789498,1751.1763564074604
Crypturellus strigulosus,50,466.8,1399.1016299008752,1417.6461977423614
Crypturellus parvirostris,50,350.94,1941.4633708505828,1908.2518466016897
Tinamus tao,50,68.32,1224.3247910282332,1229.0470815470453
Crypturellus variegatus,46,352.6521739130435,1583.7968880847668,1579.632636734669
Tinamus osgoodi,45,388.1111111111111,1300.762951227456,1109.885109754173
Crypturellus brevirostris,34,438.1470588235294,1945.7554341826021,1984.6988479064216
Crypturellus kerriae,17,121.29411764705883,1159.0296837918872,1107.1421359659005
Nothoprocta taczanowskii,14,46.642857142857146,4838.122226926307,4802.393393488689
Crypturellus ptaritepui,12,171.91666666666666,3930.947699385355,3785.0773429384526
Crypturellus casiquiare,5,1862.2,1818.0254628785638,1760.0669401787018
