species,n_muestras,T_frames_valid_mean,TC_hat_mean,TC_hat_median
Crypturellus cinereus,190,56.95789473684211,38.45288835023507,38.86481202710675
Crypturellus bartletti,143,172.16083916083917,35.52142880957204,35.94248379692495
Crypturellus cinnamomeus,104,52.03846153846154,36.56937993053559,37.60024676909991
Crypturellus obsoletus,100,212.74,35.75311836725004,36.39757118172582
Eudromia elegans,80,26.7625,36.66249914524229,37.249614113602505
Crypturellus noctivagus,76,117.0,36.65363434584024,37.9791229161069
Crypturellus erythropus,72,122.45833333333333,35.73378909590881,37.04352802862685
Crypturellus boucardi,71,202.08450704225353,36.23959716062781,37.10996299909211
Crypturellus atrocapillus,63,24.682539682539684,36.188344011188526,36.72295991119469
Nothoprocta curvirostris,60,30.15,32.28676975686994,32.72821928349901
Tinamotis pentlandii,60,44.93333333333333,35.481175892963,35.62899485303349
Crypturellus duidae,56,175.57142857142858,34.229637063278936,34.333151698574895
Nothura minor,55,50.6,34.08775177544184,34.0696995200679
Crypturellus berlepschi,55,59.45454545454545,36.67666883455305,37.3067910548876
Eudromia formosa,55,62.21818181818182,32.101705586057136,32.224114740557134
Crypturellus undulatus,53,114.73584905660377,37.265061926137015,38.61366559225185
Nothoprocta cinerascens,53,324.24528301886795,34.36961100453886,36.66817247632442
Nothura boraquira,53,45.924528301886795,36.081455688577414,35.95929730958118
Crypturellus tataupa,53,159.73584905660377,34.8590404705108,35.513118085747884
Tinamus guttatus,53,284.4339622641509,35.56360276721593,36.52486380240552
Tinamotis ingoufi,51,98.03921568627452,33.62945353903084,36.58477529295359
Crypturellus soui,51,105.07843137254902,37.27243484559776,37.626871356798354
Rhynchotus rufescens,50,81.6,37.0664762009145,38.306933475819086
Rhynchotus maculicollis,50,32.02,35.82126556741592,36.20740575325421
Taoniscus nanus,50,137.28,36.729755957141876,38.32297805796873
Nothoprocta perdicaria,50,26.52,31.94969130296928,32.993474035234335
Nothura maculosa,50,237.4,31.40978014348869,32.9708369719728
Tinamus major,50,343.04,35.019637554263646,35.513959654029534
Tinamus solitarius,50,97.98,35.24465536457344,36.41850444024935
Nothura darwinii,50,392.7,25.055634421040118,28.688308706852474
Nothocercus bonapartei,50,17.32,36.73471434286795,37.81783214896876
Nothoprocta pentlandii,50,23.98,36.016872536395766,35.96763038311036
Nothoprocta ornata,50,23.94,25.902354493140283,25.941885104870096
Nothocercus nigrocapillus,50,21.9,34.204242677469466,35.37973386945275
Nothocercus julius,50,16.52,35.88136438031915,37.0721801898455
Crypturellus transfasciatus,50,29.22,35.660499711149065,36.45944971522796
Crypturellus strigulosus,50,466.8,36.307066339383454,37.412469437787045
Crypturellus parvirostris,50,350.94,33.43492744584194,33.78398011675185
Tinamus tao,50,68.32,36.313256713131295,36.785332315865446
Crypturellus variegatus,46,352.6521739130435,35.49056868091694,36.09134298344823
Tinamus osgoodi,45,388.1111111111111,30.115093845981665,30.521001190550074
Crypturellus brevirostris,34,438.1470588235294,33.38255051675865,36.017395476919646
Crypturellus kerriae,17,121.29411764705883,33.211316695494304,36.769811332486505
Nothoprocta taczanowskii,14,46.642857142857146,33.80599175924408,34.48424189542055
Crypturellus ptaritepui,12,171.91666666666666,37.64008534487048,37.46560371801631
Crypturellus casiquiare,5,1862.2,27.943355098152175,28.0618830546942
